Year,Growth Rate(%),Term,Visitor Arrivals
1992,,Jan. - Dec.,"6,711"
1993,-18.119505290,Jan. - Dec.,"5,495"
1994,-11.319381256,Jan. - Dec.,"4,873"
1995,-3.960599220,Jan. - Dec.,"4,680"
1996,12.200854701,Jan. - Dec.,"5,251"
1997,16.758712626,Jan. - Dec.,"6,131"
1998,2.886967868,Jan. - Dec.,"6,308"
1999,0.602409639,Jan. - Dec.,"6,346"
2000,1.654585566,Jan. - Dec.,"6,451"
2001,-5.254999225,Jan. - Dec.,"6,112"
2002,-8.393324607,Jan. - Dec.,"5,599"
2003,-3.893552420,Jan. - Dec.,"5,381"
2004,9.533543951,Jan. - Dec.,"5,894"
2005,11.146929080,Jan. - Dec.,"6,551"
2006,7.540833461,Jan. - Dec.,"7,045"
2007,8.303761533,Jan. - Dec.,"7,630"
2008,-3.958060288,Jan. - Dec.,"7,328"
2009,0.095524017,Jan. - Dec.,"7,335"
2010,5.821404226,Jan. - Dec.,"7,762"
2011,4.612213347,Jan. - Dec.,"8,120"
2012,13.251231527,Jan. - Dec.,"9,196"
2013,-2.011744237,Jan. - Dec.,"9,011"
2014,1.553656642,Jan. - Dec.,"9,151"
2015,15.014752486,Jan. - Dec.,"10,525"
2016,13.900237530,Jan. - Dec.,"11,988"
2017,14.522856190,Jan. - Dec.,"13,729"
2018,15.099424576,Jan. - Dec.,"15,802"
2019,8.897607898,Jan. - Dec.,"17,208"
2020,-64.289865179,Jan. - Dec.,"6,145"
2021,-30.284784378,Jan. - Dec.,"4,284"
2022,166.643323996,Jan. - Dec.,"11,423"
2023,84.995185153,Jan. - Dec.,"21,132"
2024,12.199507855,Jan. - Dec.,"23,710"
2025,27.250105441,Jan. - Dec.,"30,171"
2026,,Jan. - May.,"12,128"
