Country/Area,Month (abbr),Year,Growth Rate(%),Visitor Arrivals
Pakistan,Jan.,1992,,524
Pakistan,Feb.,1992,,447
Pakistan,Mar.,1992,,552
Pakistan,Apr.,1992,,544
Pakistan,May,1992,,557
Pakistan,Jun.,1992,,528
Pakistan,Jul.,1992,,619
Pakistan,Aug.,1992,,614
Pakistan,Sep.,1992,,586
Pakistan,Oct.,1992,,612
Pakistan,Nov.,1992,,476
Pakistan,Dec.,1992,,652
Pakistan,Jan.,1993,-11.068702290,466
Pakistan,Feb.,1993,-12.080536913,393
Pakistan,Mar.,1993,-30.072463768,386
Pakistan,Apr.,1993,-20.772058824,431
Pakistan,May,1993,-29.084380610,395
Pakistan,Jun.,1993,-21.022727273,417
Pakistan,Jul.,1993,-18.739903069,503
Pakistan,Aug.,1993,-11.726384365,542
Pakistan,Sep.,1993,-11.945392491,516
Pakistan,Oct.,1993,-4.575163399,584
Pakistan,Nov.,1993,13.655462185,541
Pakistan,Dec.,1993,-50.766871166,321
Pakistan,Jan.,1994,-23.605150215,356
Pakistan,Feb.,1994,-20.610687023,312
Pakistan,Mar.,1994,-20.466321244,307
Pakistan,Apr.,1994,7.656612529,464
Pakistan,May,1994,0.253164557,396
Pakistan,Jun.,1994,-2.877697842,405
Pakistan,Jul.,1994,-8.747514911,459
Pakistan,Aug.,1994,-34.870848708,353
Pakistan,Sep.,1994,8.139534884,558
Pakistan,Oct.,1994,-15.753424658,492
Pakistan,Nov.,1994,-18.484288355,441
Pakistan,Dec.,1994,2.803738318,330
Pakistan,Jan.,1995,-7.865168539,328
Pakistan,Feb.,1995,-15.705128205,263
Pakistan,Mar.,1995,13.029315961,347
Pakistan,Apr.,1995,-10.344827586,416
Pakistan,May,1995,-6.565656566,370
Pakistan,Jun.,1995,12.345679012,455
Pakistan,Jul.,1995,11.764705882,513
Pakistan,Aug.,1995,17.563739377,415
Pakistan,Sep.,1995,-20.430107527,444
Pakistan,Oct.,1995,-11.788617886,434
Pakistan,Nov.,1995,-14.512471655,377
Pakistan,Dec.,1995,-3.636363636,318
Pakistan,Jan.,1996,71.646341463,563
Pakistan,Feb.,1996,12.167300380,295
Pakistan,Mar.,1996,23.342939481,428
Pakistan,Apr.,1996,-10.576923077,372
Pakistan,May,1996,32.972972973,492
Pakistan,Jun.,1996,-8.791208791,415
Pakistan,Jul.,1996,-5.068226121,487
Pakistan,Aug.,1996,13.253012048,470
Pakistan,Sep.,1996,17.342342342,521
Pakistan,Oct.,1996,9.677419355,476
Pakistan,Nov.,1996,1.061007958,381
Pakistan,Dec.,1996,10.377358491,351
Pakistan,Jan.,1997,-35.346358792,364
Pakistan,Feb.,1997,5.423728814,311
Pakistan,Mar.,1997,12.383177570,481
Pakistan,Apr.,1997,22.043010753,454
Pakistan,May,1997,10.569105691,544
Pakistan,Jun.,1997,31.566265060,546
Pakistan,Jul.,1997,11.293634497,542
Pakistan,Aug.,1997,22.553191489,576
Pakistan,Sep.,1997,9.788867562,572
Pakistan,Oct.,1997,61.554621849,769
Pakistan,Nov.,1997,45.144356955,553
Pakistan,Dec.,1997,19.373219373,419
Pakistan,Jan.,1998,12.637362637,410
Pakistan,Feb.,1998,52.733118971,475
Pakistan,Mar.,1998,11.850311850,538
Pakistan,Apr.,1998,13.656387665,516
Pakistan,May,1998,4.044117647,566
Pakistan,Jun.,1998,11.904761905,611
Pakistan,Jul.,1998,0.369003690,544
Pakistan,Aug.,1998,-4.513888889,550
Pakistan,Sep.,1998,7.342657343,614
Pakistan,Oct.,1998,-28.218465540,552
Pakistan,Nov.,1998,-13.200723327,480
Pakistan,Dec.,1998,7.875894988,452
Pakistan,Jan.,1999,2.682926829,421
Pakistan,Feb.,1999,-1.894736842,466
Pakistan,Mar.,1999,0.371747212,540
Pakistan,Apr.,1999,11.821705426,577
Pakistan,May,1999,5.123674912,595
Pakistan,Jun.,1999,-9.819967267,551
Pakistan,Jul.,1999,17.830882353,641
Pakistan,Aug.,1999,8.181818182,595
Pakistan,Sep.,1999,-7.328990228,569
Pakistan,Oct.,1999,-1.268115942,545
Pakistan,Nov.,1999,-5,456
Pakistan,Dec.,1999,-13.716814159,390
Pakistan,Jan.,2000,13.301662708,477
Pakistan,Feb.,2000,-5.579399142,440
Pakistan,Mar.,2000,-10.370370370,484
Pakistan,Apr.,2000,-4.679376083,550
Pakistan,May,2000,-3.361344538,575
Pakistan,Jun.,2000,1.451905626,559
Pakistan,Jul.,2000,-14.820592824,546
Pakistan,Aug.,2000,0.672268908,599
Pakistan,Sep.,2000,2.284710018,582
Pakistan,Oct.,2000,30.091743119,709
Pakistan,Nov.,2000,20.175438596,548
Pakistan,Dec.,2000,-2.051282051,382
Pakistan,Jan.,2001,33.752620545,638
Pakistan,Feb.,2001,0.227272727,441
Pakistan,Mar.,2001,7.851239669,522
Pakistan,Apr.,2001,-1.454545455,542
Pakistan,May,2001,5.043478261,604
Pakistan,Jun.,2001,8.944543828,609
Pakistan,Jul.,2001,14.835164835,627
Pakistan,Aug.,2001,-5.843071786,564
Pakistan,Sep.,2001,-13.230240550,505
Pakistan,Oct.,2001,-40.197461213,424
Pakistan,Nov.,2001,-35.583941606,353
Pakistan,Dec.,2001,-25.916230366,283
Pakistan,Jan.,2002,-20.689655172,506
Pakistan,Feb.,2002,-40.362811791,263
Pakistan,Mar.,2002,5.363984674,550
Pakistan,Apr.,2002,-20.664206642,430
Pakistan,May,2002,-12.748344371,527
Pakistan,Jun.,2002,-24.137931034,462
Pakistan,Jul.,2002,-1.594896332,617
Pakistan,Aug.,2002,-13.120567376,490
Pakistan,Sep.,2002,4.158415842,526
Pakistan,Oct.,2002,26.179245283,535
