Month,Year,Japanese Overseas Travelers,Visitor Arrivals to Japan
Jan.,1973,"151,985","43,080"
Feb.,1973,"169,294","43,441"
Mar.,1973,"197,166","59,936"
Apr.,1973,"161,023","78,933"
May,1973,"179,247","68,260"
Jun.,1973,"178,123","62,566"
Jul.,1973,"190,945","73,237"
Aug.,1973,"229,674","73,425"
Sep.,1973,"190,296","79,939"
Oct.,1973,"228,909","86,675"
Nov.,1973,"240,807","65,074"
Dec.,1973,"171,497","50,125"
Jan.,1974,"213,206","46,326"
Feb.,1974,"234,871","45,691"
Mar.,1974,"244,577","62,731"
Apr.,1974,"172,630","73,904"
May,1974,"173,001","68,811"
Jun.,1974,"166,793","65,054"
Jul.,1974,"181,019","73,306"
Aug.,1974,"234,069","71,703"
Sep.,1974,"158,572","71,205"
Oct.,1974,"187,665","74,563"
Nov.,1974,"201,579","63,492"
Dec.,1974,"167,548","47,460"
Jan.,1975,"195,444","46,982"
Feb.,1975,"226,969","44,166"
Mar.,1975,"247,999","64,815"
Apr.,1975,"161,854","69,660"
May,1975,"174,426","73,484"
Jun.,1975,"186,817","65,970"
Jul.,1975,"198,146","74,987"
Aug.,1975,"259,677","75,327"
Sep.,1975,"197,333","75,739"
Oct.,1975,"214,393","85,491"
Nov.,1975,"228,369","74,418"
Dec.,1975,"174,899","60,633"
Jan.,1976,"210,869","56,939"
Feb.,1976,"274,559","51,724"
Mar.,1976,"251,591","69,946"
Apr.,1976,"202,665","80,189"
May,1976,"206,159","86,619"
Jun.,1976,"220,765","74,121"
Jul.,1976,"245,022","81,331"
Aug.,1976,"289,965","88,328"
Sep.,1976,"247,999","82,133"
Oct.,1976,"242,606","101,077"
Nov.,1976,"262,240","78,514"
Dec.,1976,"198,144","63,851"
Jan.,1977,"259,177","62,267"
Feb.,1977,"298,129","57,556"
Mar.,1977,"303,258","78,284"
Apr.,1977,"251,010","97,499"
May,1977,"231,192","102,883"
Jun.,1977,"242,197","81,701"
Jul.,1977,"236,027","89,741"
Aug.,1977,"304,457","94,751"
Sep.,1977,"264,515","91,010"
Oct.,1977,"255,874","115,325"
Nov.,1977,"281,939","88,197"
Dec.,1977,"223,656","68,926"
Jan.,1978,"289,814","63,553"
Feb.,1978,"299,768","63,494"
Mar.,1978,"317,729","82,502"
Apr.,1978,"254,435","95,997"
May,1978,"262,181","108,913"
Jun.,1978,"271,049","88,866"
Jul.,1978,"277,909","90,045"
Aug.,1978,"353,183","86,706"
