Area(23 Markets),Country/Area(23 Markets),Month (abbr),Year,Rate(%),Visitor Arrivals
Others,Others,Jan.,1992,1,524
Others,Others,Feb.,1992,1,447
Others,Others,Mar.,1992,1,552
Others,Others,Apr.,1992,1,544
Others,Others,May,1992,1,557
Others,Others,Jun.,1992,1,528
Others,Others,Jul.,1992,1,619
Others,Others,Aug.,1992,1,614
Others,Others,Sep.,1992,1,586
Others,Others,Oct.,1992,1,612
Others,Others,Nov.,1992,1,476
Others,Others,Dec.,1992,1,652
Others,Others,Jan.,1993,1,466
Others,Others,Feb.,1993,1,393
Others,Others,Mar.,1993,1,386
Others,Others,Apr.,1993,1,431
Others,Others,May,1993,1,395
Others,Others,Jun.,1993,1,417
Others,Others,Jul.,1993,1,503
Others,Others,Aug.,1993,1,542
Others,Others,Sep.,1993,1,516
Others,Others,Oct.,1993,1,584
Others,Others,Nov.,1993,1,541
Others,Others,Dec.,1993,1,321
Others,Others,Jan.,1994,1,356
Others,Others,Feb.,1994,1,312
Others,Others,Mar.,1994,1,307
Others,Others,Apr.,1994,1,464
Others,Others,May,1994,1,396
Others,Others,Jun.,1994,1,405
Others,Others,Jul.,1994,1,459
Others,Others,Aug.,1994,1,353
Others,Others,Sep.,1994,1,558
Others,Others,Oct.,1994,1,492
Others,Others,Nov.,1994,1,441
Others,Others,Dec.,1994,1,330
Others,Others,Jan.,1995,1,328
Others,Others,Feb.,1995,1,263
Others,Others,Mar.,1995,1,347
Others,Others,Apr.,1995,1,416
Others,Others,May,1995,1,370
Others,Others,Jun.,1995,1,455
Others,Others,Jul.,1995,1,513
Others,Others,Aug.,1995,1,415
Others,Others,Sep.,1995,1,444
Others,Others,Oct.,1995,1,434
Others,Others,Nov.,1995,1,377
Others,Others,Dec.,1995,1,318
Others,Others,Jan.,1996,1,563
Others,Others,Feb.,1996,1,295
Others,Others,Mar.,1996,1,428
Others,Others,Apr.,1996,1,372
Others,Others,May,1996,1,492
Others,Others,Jun.,1996,1,415
Others,Others,Jul.,1996,1,487
Others,Others,Aug.,1996,1,470
Others,Others,Sep.,1996,1,521
Others,Others,Oct.,1996,1,476
Others,Others,Nov.,1996,1,381
Others,Others,Dec.,1996,1,351
Others,Others,Jan.,1997,1,364
Others,Others,Feb.,1997,1,311
Others,Others,Mar.,1997,1,481
Others,Others,Apr.,1997,1,454
Others,Others,May,1997,1,544
Others,Others,Jun.,1997,1,546
Others,Others,Jul.,1997,1,542
Others,Others,Aug.,1997,1,576
Others,Others,Sep.,1997,1,572
Others,Others,Oct.,1997,1,769
Others,Others,Nov.,1997,1,553
Others,Others,Dec.,1997,1,419
Others,Others,Jan.,1998,1,410
Others,Others,Feb.,1998,1,475
Others,Others,Mar.,1998,1,538
Others,Others,Apr.,1998,1,516
Others,Others,May,1998,1,566
Others,Others,Jun.,1998,1,611
Others,Others,Jul.,1998,1,544
Others,Others,Aug.,1998,1,550
Others,Others,Sep.,1998,1,614
Others,Others,Oct.,1998,1,552
Others,Others,Nov.,1998,1,480
Others,Others,Dec.,1998,1,452
Others,Others,Jan.,1999,1,421
Others,Others,Feb.,1999,1,466
Others,Others,Mar.,1999,1,540
Others,Others,Apr.,1999,1,577
Others,Others,May,1999,1,595
Others,Others,Jun.,1999,1,551
Others,Others,Jul.,1999,1,641
Others,Others,Aug.,1999,1,595
Others,Others,Sep.,1999,1,569
Others,Others,Oct.,1999,1,545
Others,Others,Nov.,1999,1,456
Others,Others,Dec.,1999,1,390
Others,Others,Jan.,2000,1,477
Others,Others,Feb.,2000,1,440
Others,Others,Mar.,2000,1,484
Others,Others,Apr.,2000,1,550
Others,Others,May,2000,1,575
Others,Others,Jun.,2000,1,559
Others,Others,Jul.,2000,1,546
Others,Others,Aug.,2000,1,599
Others,Others,Sep.,2000,1,582
Others,Others,Oct.,2000,1,709
Others,Others,Nov.,2000,1,548
Others,Others,Dec.,2000,1,382
Others,Others,Jan.,2001,1,638
Others,Others,Feb.,2001,1,441
Others,Others,Mar.,2001,1,522
Others,Others,Apr.,2001,1,542
Others,Others,May,2001,1,604
Others,Others,Jun.,2001,1,609
Others,Others,Jul.,2001,1,627
Others,Others,Aug.,2001,1,564
Others,Others,Sep.,2001,1,505
Others,Others,Oct.,2001,1,424
Others,Others,Nov.,2001,1,353
Others,Others,Dec.,2001,1,283
Others,Others,Jan.,2002,1,506
Others,Others,Feb.,2002,1,263
Others,Others,Mar.,2002,1,550
Others,Others,Apr.,2002,1,430
Others,Others,May,2002,1,527
Others,Others,Jun.,2002,1,462
Others,Others,Jul.,2002,1,617
Others,Others,Aug.,2002,1,490
Others,Others,Sep.,2002,1,526
Others,Others,Oct.,2002,1,535
Others,Others,Nov.,2002,1,384
Others,Others,Dec.,2002,1,309
Others,Others,Jan.,2003,1,450
Others,Others,Feb.,2003,1,428
Others,Others,Mar.,2003,1,545
Others,Others,Apr.,2003,1,339
Others,Others,May,2003,1,399
Others,Others,Jun.,2003,1,461
Others,Others,Jul.,2003,1,449
Others,Others,Aug.,2003,1,485
Others,Others,Sep.,2003,1,504
Others,Others,Oct.,2003,1,551
Others,Others,Nov.,2003,1,323
Others,Others,Dec.,2003,1,447
Others,Others,Jan.,2004,1,524
Others,Others,Feb.,2004,1,453
Others,Others,Mar.,2004,1,547
Others,Others,Apr.,2004,1,419
Others,Others,May,2004,1,542
Others,Others,Jun.,2004,1,442
Others,Others,Jul.,2004,1,568
Others,Others,Aug.,2004,1,508
Others,Others,Sep.,2004,1,433
Others,Others,Oct.,2004,1,502
Others,Others,Nov.,2004,1,429
Others,Others,Dec.,2004,1,527
Others,Others,Jan.,2005,1,455
Others,Others,Feb.,2005,1,391
Others,Others,Mar.,2005,1,400
Others,Others,Apr.,2005,1,561
Others,Others,May,2005,1,599
Others,Others,Jun.,2005,1,589
Others,Others,Jul.,2005,1,617
Others,Others,Aug.,2005,1,679
Others,Others,Sep.,2005,1,686
Others,Others,Oct.,2005,1,520
Others,Others,Nov.,2005,1,617
Others,Others,Dec.,2005,1,437
Others,Others,Jan.,2006,1,603
Others,Others,Feb.,2006,1,583
Others,Others,Mar.,2006,1,600
Others,Others,Apr.,2006,1,544
Others,Others,May,2006,1,550
Others,Others,Jun.,2006,1,660
Others,Others,Jul.,2006,1,710
Others,Others,Aug.,2006,1,565
Others,Others,Sep.,2006,1,595
Others,Others,Oct.,2006,1,488
Others,Others,Nov.,2006,1,715
Others,Others,Dec.,2006,1,432
Others,Others,Jan.,2007,1,707
Others,Others,Feb.,2007,1,609
Others,Others,Mar.,2007,1,641
Others,Others,Apr.,2007,1,540
Others,Others,May,2007,1,707
Others,Others,Jun.,2007,1,768
Others,Others,Jul.,2007,1,604
Others,Others,Aug.,2007,1,612
Others,Others,Sep.,2007,1,622
Others,Others,Oct.,2007,1,662
Others,Others,Nov.,2007,1,752
Others,Others,Dec.,2007,1,406
Others,Others,Jan.,2008,1,677
Others,Others,Feb.,2008,1,574
Others,Others,Mar.,2008,1,601
Others,Others,Apr.,2008,1,593
Others,Others,May,2008,1,650
Others,Others,Jun.,2008,1,636
Others,Others,Jul.,2008,1,689
Others,Others,Aug.,2008,1,587
Others,Others,Sep.,2008,1,456
Others,Others,Oct.,2008,1,755
Others,Others,Nov.,2008,1,671
Others,Others,Dec.,2008,1,439
Others,Others,Jan.,2009,1,669
Others,Others,Feb.,2009,1,555
Others,Others,Mar.,2009,1,538
Others,Others,Apr.,2009,1,563
Others,Others,May,2009,1,679
Others,Others,Jun.,2009,1,689
Others,Others,Jul.,2009,1,661
Others,Others,Aug.,2009,1,589
Others,Others,Sep.,2009,1,439
Others,Others,Oct.,2009,1,797
Others,Others,Nov.,2009,1,546
Others,Others,Dec.,2009,1,610
Others,Others,Jan.,2010,1,758
Others,Others,Feb.,2010,1,504
Others,Others,Mar.,2010,1,573
Others,Others,Apr.,2010,1,619
Others,Others,May,2010,1,697
Others,Others,Jun.,2010,1,680
Others,Others,Jul.,2010,1,697
Others,Others,Aug.,2010,1,593
Others,Others,Sep.,2010,1,606
Others,Others,Oct.,2010,1,817
Others,Others,Nov.,2010,1,629
Others,Others,Dec.,2010,1,589
Others,Others,Jan.,2011,1,771
Others,Others,Feb.,2011,1,643
Others,Others,Mar.,2011,1,444
Others,Others,Apr.,2011,1,650
Others,Others,May,2011,1,745
Others,Others,Jun.,2011,1,710
Others,Others,Jul.,2011,1,824
Others,Others,Aug.,2011,1,435
Others,Others,Sep.,2011,1,848
Others,Others,Oct.,2011,1,782
Others,Others,Nov.,2011,1,655
Others,Others,Dec.,2011,1,613
Others,Others,Jan.,2012,1,807
Others,Others,Feb.,2012,1,583
Others,Others,Mar.,2012,1,698
Others,Others,Apr.,2012,1,765
Others,Others,May,2012,1,780
Others,Others,Jun.,2012,1,911
Others,Others,Jul.,2012,1,790
Others,Others,Aug.,2012,1,574
Others,Others,Sep.,2012,1,966
Others,Others,Oct.,2012,1,727
Others,Others,Nov.,2012,1,926
Others,Others,Dec.,2012,1,669
Others,Others,Jan.,2013,1,731
Others,Others,Feb.,2013,1,640
Others,Others,Mar.,2013,1,656
Others,Others,Apr.,2013,1,677
Others,Others,May,2013,1,782
Others,Others,Jun.,2013,1,858
Others,Others,Jul.,2013,1,666
Others,Others,Aug.,2013,1,654
Others,Others,Sep.,2013,1,870
Others,Others,Oct.,2013,1,775
Others,Others,Nov.,2013,1,"1,056"
Others,Others,Dec.,2013,1,646
Others,Others,Jan.,2014,1,732
Others,Others,Feb.,2014,1,690
Others,Others,Mar.,2014,1,835
Others,Others,Apr.,2014,1,739
Others,Others,May,2014,1,759
Others,Others,Jun.,2014,1,975
