Country/Area,Purpose_of_visit_to_Japan,Year,Growth Rate(%),Visitor Arrivals
Pakistan,Tourism,1992,,"1,873"
Pakistan,Tourism,1993,-26.641751201,"1,374"
Pakistan,Tourism,1994,-6.914119360,"1,279"
Pakistan,Tourism,1995,-8.600469116,"1,169"
Pakistan,Tourism,1996,1.283147990,"1,184"
Pakistan,Tourism,1997,21.030405405,"1,433"
Pakistan,Tourism,1998,7.955338451,"1,547"
Pakistan,Tourism,1999,-2.714932127,"1,505"
Pakistan,Tourism,2000,9.435215947,"1,647"
Pakistan,Tourism,2001,-15.057680631,"1,399"
Pakistan,Tourism,2002,-13.867047891,"1,205"
Pakistan,Tourism,2003,-8.630705394,"1,101"
Pakistan,Tourism,2004,-5.267938238,"1,043"
Pakistan,Tourism,2005,43.048897411,"1,492"
Pakistan,Tourism,2006,-4.356568365,"1,427"
Pakistan,Tourism,2007,19.481429573,"1,705"
Pakistan,Tourism,2008,-5.278592375,"1,615"
Pakistan,Tourism,2009,-0.866873065,"1,601"
Pakistan,Tourism,2010,5.621486571,"1,691"
Pakistan,Tourism,2011,-10.348905973,"1,516"
Pakistan,Tourism,2012,40.963060686,"2,137"
Pakistan,Tourism,2013,-0.701918577,"2,122"
Pakistan,Tourism,2014,10.650329877,"2,348"
Pakistan,Tourism,2015,19.293015332,"2,801"
Pakistan,Tourism,2016,12.602641914,"3,154"
Pakistan,Tourism,2017,23.525681674,"3,896"
Pakistan,Tourism,2018,34.240246407,"5,230"
Pakistan,Tourism,2019,27.189292543,"6,652"
Pakistan,Tourism,2020,-84.756464221,"1,014"
Pakistan,Tourism,2021,-92.504930966,76
Pakistan,Tourism,2022,"1,364.473684211","1,113"
Pakistan,Others,1992,,"1,122"
Pakistan,Others,1993,-5.525846702,"1,060"
Pakistan,Others,1994,-14.622641509,905
Pakistan,Others,1995,21.215469613,"1,097"
Pakistan,Others,1996,11.121239745,"1,219"
Pakistan,Others,1997,0.164068909,"1,221"
Pakistan,Others,1998,8.026208026,"1,319"
Pakistan,Others,1999,10.007581501,"1,451"
Pakistan,Others,2000,2.618883529,"1,489"
Pakistan,Others,2001,2.081934184,"1,520"
Pakistan,Others,2002,7.434210526,"1,633"
Pakistan,Others,2003,-4.654011023,"1,557"
Pakistan,Others,2004,11.817597945,"1,741"
Pakistan,Others,2005,9.879379667,"1,913"
Pakistan,Others,2006,15.002613696,"2,200"
Pakistan,Others,2007,12.363636364,"2,472"
Pakistan,Others,2008,5.461165049,"2,607"
Pakistan,Others,2009,7.364787112,"2,799"
Pakistan,Others,2010,5.966416577,"2,966"
Pakistan,Others,2011,19.689817937,"3,550"
Pakistan,Others,2012,0.929577465,"3,583"
Pakistan,Others,2013,4.493441250,"3,744"
Pakistan,Others,2014,6.784188034,"3,998"
Pakistan,Others,2015,15.532766383,"4,619"
Pakistan,Others,2016,6.581511150,"4,923"
Pakistan,Others,2017,11.497054641,"5,489"
Pakistan,Others,2018,9.309528147,"6,000"
Pakistan,Others,2019,8.883333333,"6,533"
Pakistan,Others,2020,-41.956222256,"3,792"
Pakistan,Others,2021,-15.585443038,"3,201"
Pakistan,Others,2022,138.862855358,"7,646"
Pakistan,Transit,1992,,"1,160"
Pakistan,Transit,1993,-38.620689655,712
Pakistan,Transit,1994,-45.505617978,388
Pakistan,Transit,1995,-22.938144330,299
Pakistan,Transit,1996,-3.010033445,290
Pakistan,Transit,1997,-46.206896552,156
Pakistan,Transit,1998,-10.897435897,139
Pakistan,Transit,1999,28.776978417,179
Pakistan,Transit,2000,63.687150838,293
Pakistan,Transit,2001,-7.508532423,271
Pakistan,Transit,2002,-32.472324723,183
Pakistan,Transit,2003,-4.918032787,174
Pakistan,Transit,2004,-4.597701149,166
Pakistan,Transit,2005,-45.180722892,91
Pakistan,Transit,2006,-29.670329670,64
Pakistan,Transit,2007,,
Pakistan,Transit,2008,,
Pakistan,Transit,2009,,
Pakistan,Transit,2010,,
Pakistan,Transit,2011,,
Pakistan,Transit,2012,,
Pakistan,Transit,2013,,
Pakistan,Transit,2014,,
Pakistan,Transit,2015,,
Pakistan,Transit,2016,,
Pakistan,Transit,2017,,
Pakistan,Transit,2018,,
Pakistan,Transit,2019,,
Pakistan,Transit,2020,,
Pakistan,Transit,2021,,
Pakistan,Transit,2022,,
Pakistan,Business,1992,,"2,556"
Pakistan,Business,1993,-8.098591549,"2,349"
Pakistan,Business,1994,-2.043422733,"2,301"
Pakistan,Business,1995,-8.083441982,"2,115"
Pakistan,Business,1996,20.945626478,"2,558"
Pakistan,Business,1997,29.827990618,"3,321"
Pakistan,Business,1998,-0.542005420,"3,303"
Pakistan,Business,1999,-2.785346655,"3,211"
Pakistan,Business,2000,-5.886016817,"3,022"
Pakistan,Business,2001,-3.309066843,"2,922"
Pakistan,Business,2002,-11.772758385,"2,578"
Pakistan,Business,2003,-1.124903026,"2,549"
Pakistan,Business,2004,15.496273048,"2,944"
Pakistan,Business,2005,3.770380435,"3,055"
Pakistan,Business,2006,9.787234043,"3,354"
Pakistan,Business,2007,2.951699463,"3,453"
Pakistan,Business,2008,-10.049232551,"3,106"
Pakistan,Business,2009,-5.505473278,"2,935"
Pakistan,Business,2010,5.792163543,"3,105"
Pakistan,Business,2011,-1.642512077,"3,054"
Pakistan,Business,2012,13.817943680,"3,476"
Pakistan,Business,2013,-9.522439586,"3,145"
Pakistan,Business,2014,-10.810810811,"2,805"
Pakistan,Business,2015,10.695187166,"3,105"
Pakistan,Business,2016,25.958132045,"3,911"
Pakistan,Business,2017,11.071337254,"4,344"
Pakistan,Business,2018,5.248618785,"4,572"
Pakistan,Business,2019,-12.007874016,"4,023"
Pakistan,Business,2020,-66.716380810,"1,339"
Pakistan,Business,2021,-24.794622853,"1,007"
Pakistan,Business,2022,164.548162860,"2,664"
