Purpose_of_visit_to_Japan,Year,Term,Visitor Arrivals
Tourism,1992,Jan. - Dec.,"1,873"
Tourism,1993,Jan. - Dec.,"1,374"
Tourism,1994,Jan. - Dec.,"1,279"
Tourism,1995,Jan. - Dec.,"1,169"
Tourism,1996,Jan. - Dec.,"1,184"
Tourism,1997,Jan. - Dec.,"1,433"
Tourism,1998,Jan. - Dec.,"1,547"
Tourism,1999,Jan. - Dec.,"1,505"
Tourism,2000,Jan. - Dec.,"1,647"
Tourism,2001,Jan. - Dec.,"1,399"
Tourism,2002,Jan. - Dec.,"1,205"
Tourism,2003,Jan. - Dec.,"1,101"
Tourism,2004,Jan. - Dec.,"1,043"
Tourism,2005,Jan. - Dec.,"1,492"
Tourism,2006,Jan. - Dec.,"1,427"
Tourism,2007,Jan. - Dec.,"1,705"
Tourism,2008,Jan. - Dec.,"1,615"
Tourism,2009,Jan. - Dec.,"1,601"
Tourism,2010,Jan. - Dec.,"1,691"
Tourism,2011,Jan. - Dec.,"1,516"
Tourism,2012,Jan. - Dec.,"2,137"
Tourism,2013,Jan. - Dec.,"2,122"
Tourism,2014,Jan. - Dec.,"2,348"
Tourism,2015,Jan. - Dec.,"2,801"
Tourism,2016,Jan. - Dec.,"3,154"
Tourism,2017,Jan. - Dec.,"3,896"
Tourism,2018,Jan. - Dec.,"5,230"
Tourism,2019,Jan. - Dec.,"6,652"
Tourism,2020,Jan. - Dec.,"1,014"
Tourism,2021,Jan. - Dec.,76
Tourism,2022,Jan. - Dec.,"1,113"
Tourism,2023,Jan. - Dec.,"7,294"
Tourism,2024,Jan. - Dec.,"6,722"
Tourism,2025,Jan. - Dec.,"8,348"
Tourism,2026,Jan. - May.,"2,633"
Others,1992,Jan. - Dec.,"1,122"
Others,1993,Jan. - Dec.,"1,060"
Others,1994,Jan. - Dec.,905
Others,1995,Jan. - Dec.,"1,097"
Others,1996,Jan. - Dec.,"1,219"
Others,1997,Jan. - Dec.,"1,221"
Others,1998,Jan. - Dec.,"1,319"
Others,1999,Jan. - Dec.,"1,451"
Others,2000,Jan. - Dec.,"1,489"
Others,2001,Jan. - Dec.,"1,520"
Others,2002,Jan. - Dec.,"1,633"
Others,2003,Jan. - Dec.,"1,557"
Others,2004,Jan. - Dec.,"1,741"
Others,2005,Jan. - Dec.,"1,913"
Others,2006,Jan. - Dec.,"2,200"
Others,2007,Jan. - Dec.,"2,472"
Others,2008,Jan. - Dec.,"2,607"
Others,2009,Jan. - Dec.,"2,799"
Others,2010,Jan. - Dec.,"2,966"
Others,2011,Jan. - Dec.,"3,550"
Others,2012,Jan. - Dec.,"3,583"
Others,2013,Jan. - Dec.,"3,744"
Others,2014,Jan. - Dec.,"3,998"
Others,2015,Jan. - Dec.,"4,619"
Others,2016,Jan. - Dec.,"4,923"
Others,2017,Jan. - Dec.,"5,489"
Others,2018,Jan. - Dec.,"6,000"
Others,2019,Jan. - Dec.,"6,533"
Others,2020,Jan. - Dec.,"3,792"
Others,2021,Jan. - Dec.,"3,201"
Others,2022,Jan. - Dec.,"7,646"
Others,2023,Jan. - Dec.,"9,135"
Others,2024,Jan. - Dec.,"11,628"
Others,2025,Jan. - Dec.,"15,407"
Others,2026,Jan. - May.,"7,077"
Transit,1992,Jan. - Dec.,"1,160"
Transit,1993,Jan. - Dec.,712
Transit,1994,Jan. - Dec.,388
Transit,1995,Jan. - Dec.,299
Transit,1996,Jan. - Dec.,290
Transit,1997,Jan. - Dec.,156
Transit,1998,Jan. - Dec.,139
Transit,1999,Jan. - Dec.,179
Transit,2000,Jan. - Dec.,293
Transit,2001,Jan. - Dec.,271
Transit,2002,Jan. - Dec.,183
Transit,2003,Jan. - Dec.,174
Transit,2004,Jan. - Dec.,166
Transit,2005,Jan. - Dec.,91
Transit,2006,Jan. - Dec.,64
Business,1992,Jan. - Dec.,"2,556"
Business,1993,Jan. - Dec.,"2,349"
Business,1994,Jan. - Dec.,"2,301"
Business,1995,Jan. - Dec.,"2,115"
Business,1996,Jan. - Dec.,"2,558"
Business,1997,Jan. - Dec.,"3,321"
Business,1998,Jan. - Dec.,"3,303"
Business,1999,Jan. - Dec.,"3,211"
Business,2000,Jan. - Dec.,"3,022"
Business,2001,Jan. - Dec.,"2,922"
Business,2002,Jan. - Dec.,"2,578"
Business,2003,Jan. - Dec.,"2,549"
Business,2004,Jan. - Dec.,"2,944"
Business,2005,Jan. - Dec.,"3,055"
Business,2006,Jan. - Dec.,"3,354"
Business,2007,Jan. - Dec.,"3,453"
Business,2008,Jan. - Dec.,"3,106"
Business,2009,Jan. - Dec.,"2,935"
Business,2010,Jan. - Dec.,"3,105"
Business,2011,Jan. - Dec.,"3,054"
Business,2012,Jan. - Dec.,"3,476"
Business,2013,Jan. - Dec.,"3,145"
Business,2014,Jan. - Dec.,"2,805"
Business,2015,Jan. - Dec.,"3,105"
Business,2016,Jan. - Dec.,"3,911"
Business,2017,Jan. - Dec.,"4,344"
Business,2018,Jan. - Dec.,"4,572"
Business,2019,Jan. - Dec.,"4,023"
Business,2020,Jan. - Dec.,"1,339"
Business,2021,Jan. - Dec.,"1,007"
Business,2022,Jan. - Dec.,"2,664"
Business,2023,Jan. - Dec.,"4,703"
Business,2024,Jan. - Dec.,"5,360"
Business,2025,Jan. - Dec.,"6,416"
Business,2026,Jan. - May.,"2,418"
