Month (abbr),Purpose_of_visit_to_Japan,Visitor Arrivals
Jan.,Tourism,5
Feb.,Tourism,1
Mar.,Tourism,3
Apr.,Tourism,8
May,Tourism,7
Jun.,Tourism,36
Jul.,Tourism,75
Aug.,Tourism,95
Sep.,Tourism,101
Oct.,Tourism,110
Nov.,Tourism,246
Dec.,Tourism,426
Jan.,Others,375
Feb.,Others,623
Mar.,Others,680
Apr.,Others,665
May,Others,878
Jun.,Others,751
Jul.,Others,575
Aug.,Others,721
Sep.,Others,703
Oct.,Others,551
Nov.,Others,628
Dec.,Others,496
Jan.,Business,129
Feb.,Business,173
Mar.,Business,172
Apr.,Business,104
May,Business,209
Jun.,Business,180
Jul.,Business,204
Aug.,Business,291
Sep.,Business,238
Oct.,Business,321
Nov.,Business,402
Dec.,Business,241
