Country/Area,Port Name,Port Type,Region,Year,Change,Foreigners Entries
Pakistan,Total,Total,Asia,2021,-0.246769619,"7,170"
Pakistan,Shinchitose,Airport,Asia,2021,-1,0
Pakistan,Misawa,Airport,Asia,2021,,0
Pakistan,Haneda,Airport,Asia,2021,-0.342465753,432
Pakistan,Yokota,Airport,Asia,2021,,0
Pakistan,Narita,Airport,Asia,2021,-0.213471802,"5,453"
Pakistan,Atsugi,Airport,Asia,2021,,0
Pakistan,Chubu,Airport,Asia,2021,-0.988668555,8
Pakistan,Kansai,Airport,Asia,2021,0.126213592,"1,276"
Pakistan,Iwakuni,Airport,Asia,2021,,0
Pakistan,Fukuoka,Airport,Asia,2021,-0.984126984,1
Pakistan,Kadena,Airport,Asia,2021,,0
Pakistan,Hanasaki,Seaport,Asia,2021,,0
Pakistan,Tokyo,Seaport,Asia,2021,,0
Pakistan,Chiba,Seaport,Asia,2021,,0
Pakistan,Yokohama,Seaport,Asia,2021,,0
Pakistan,Kawasaki,Seaport,Asia,2021,,0
Pakistan,Yokosuka,Seaport,Asia,2021,,0
Pakistan,Shimizu,Seaport,Asia,2021,,0
Pakistan,Tannowa,Seaport,Asia,2021,,0
Pakistan,Kure,Seaport,Asia,2021,,0
Pakistan,Mizushima,Seaport,Asia,2021,,0
Pakistan,Tokuyama Kudamatsu,Seaport,Asia,2021,,0
Pakistan,Hakata,Seaport,Asia,2021,-1,0
Pakistan,Sasebo,Seaport,Asia,2021,,0
Pakistan,Kagoshima,Seaport,Asia,2021,,0
Pakistan,Naha,Seaport,Asia,2021,,0
Pakistan,Kinnakagusuku,Seaport,Asia,2021,,0
Pakistan,Total,Total,Asia,2022,1.341562064,"16,789"
Pakistan,Shinchitose,Airport,Asia,2022,,2
Pakistan,Misawa,Airport,Asia,2022,,0
Pakistan,Haneda,Airport,Asia,2022,0.423611111,615
Pakistan,Yokota,Airport,Asia,2022,,0
Pakistan,Narita,Airport,Asia,2022,1.319640565,"12,649"
Pakistan,Atsugi,Airport,Asia,2022,,0
Pakistan,Chubu,Airport,Asia,2022,113.125,913
Pakistan,Kansai,Airport,Asia,2022,0.999216301,"2,551"
Pakistan,Iwakuni,Airport,Asia,2022,,0
Pakistan,Fukuoka,Airport,Asia,2022,58,59
Pakistan,Kagoshima,Airport,Asia,2022,,0
Pakistan,Naha,Airport,Asia,2022,,0
Pakistan,Kadena,Airport,Asia,2022,,0
Pakistan,Hakodate,Airport,Asia,2022,,0
Pakistan,Hanamaki,Airport,Asia,2022,,0
Pakistan,Hiroshima,Airport,Asia,2022,,0
Pakistan,Ibaraki,Airport,Asia,2022,,0
Pakistan,Kitakyushu,Airport,Asia,2022,,0
Pakistan,Komatsu,Airport,Asia,2022,,0
Pakistan,Kumamoto,Airport,Asia,2022,,0
Pakistan,Matsuyama,Airport,Asia,2022,,0
Pakistan,Miyazaki,Airport,Asia,2022,,0
Pakistan,Nagasaki,Airport,Asia,2022,,0
Pakistan,Nagoya,Airport,Asia,2022,,0
Pakistan,New Ishigaki,Airport,Asia,2022,,0
Pakistan,Niigata,Airport,Asia,2022,,0
Pakistan,Sendai,Airport,Asia,2022,,0
Pakistan,Takamatsu,Airport,Asia,2022,,0
Pakistan,Toyama,Airport,Asia,2022,,0
Pakistan,Hanasaki,Seaport,Asia,2022,,0
Pakistan,Tokyo,Seaport,Asia,2022,,0
Pakistan,Chiba,Seaport,Asia,2022,,0
Pakistan,Yokohama,Seaport,Asia,2022,,0
Pakistan,Yokosuka,Seaport,Asia,2022,,0
Pakistan,Shimizu,Seaport,Asia,2022,,0
Pakistan,Kure,Seaport,Asia,2022,,0
Pakistan,Tokuyama Kudamatsu,Seaport,Asia,2022,,0
Pakistan,Hakata,Seaport,Asia,2022,,0
Pakistan,Sasebo,Seaport,Asia,2022,,0
Pakistan,Naha,Seaport,Asia,2022,,0
Pakistan,Kinnakagusuku,Seaport,Asia,2022,,0
Pakistan,Futami,Seaport,Asia,2022,,0
Pakistan,Hamada,Seaport,Asia,2022,,0
Pakistan,Hirara,Seaport,Asia,2022,,0
Pakistan,Kanmon(Moji),Seaport,Asia,2022,,0
Pakistan,Kanmon(Shimonoseki),Seaport,Asia,2022,,0
Pakistan,Kanmon(Tobata),Seaport,Asia,2022,,0
Pakistan,Kiire,Seaport,Asia,2022,,0
Pakistan,Kisarazu,Seaport,Asia,2022,,0
Pakistan,Kobe(Hanshin),Seaport,Asia,2022,,0
Pakistan,Kochi,Seaport,Asia,2022,,0
Pakistan,Kurahashi,Seaport,Asia,2022,,0
Pakistan,Mikawa,Seaport,Asia,2022,,0
Pakistan,Muroran,Seaport,Asia,2022,,0
Pakistan,Nagasaki,Seaport,Asia,2022,,0
Pakistan,Nagoya,Seaport,Asia,2022,,0
Pakistan,Oita,Seaport,Asia,2022,,0
Pakistan,Osaka(Hanshin),Seaport,Asia,2022,,0
Pakistan,Otaru,Seaport,Asia,2022,,0
Pakistan,Sakai,Seaport,Asia,2022,,0
Pakistan,Sakai Senboku,Seaport,Asia,2022,,0
Pakistan,Tomakomai,Seaport,Asia,2022,,0
Pakistan,Yamagawa,Seaport,Asia,2022,,0
Pakistan,Total,Total,Asia,2023,0.614569063,"27,107"
Pakistan,Shinchitose,Airport,Asia,2023,43,88
Pakistan,Misawa,Airport,Asia,2023,,0
Pakistan,Haneda,Airport,Asia,2023,5.247154472,"3,842"
Pakistan,Yokota,Airport,Asia,2023,,0
Pakistan,Narita,Airport,Asia,2023,0.400426911,"17,714"
Pakistan,Atsugi,Airport,Asia,2023,,0
Pakistan,Chubu,Airport,Asia,2023,-0.007667032,906
Pakistan,Kansai,Airport,Asia,2023,0.589964720,"4,056"
Pakistan,Iwakuni,Airport,Asia,2023,,0
Pakistan,Fukuoka,Airport,Asia,2023,6.508474576,443
Pakistan,Kagoshima,Airport,Asia,2023,,1
Pakistan,Naha,Airport,Asia,2023,,18
Pakistan,Kadena,Airport,Asia,2023,,0
Pakistan,Akita,Airport,Asia,2023,,0
Pakistan,Aomori,Airport,Asia,2023,,0
Pakistan,Asahikawa,Airport,Asia,2023,,0
Pakistan,Fukushima,Airport,Asia,2023,,0
Pakistan,Futenma,Airport,Asia,2023,,0
Pakistan,Hakodate,Airport,Asia,2023,,0
Pakistan,Hamamatsu,Airport,Asia,2023,,0
Pakistan,Hanamaki,Airport,Asia,2023,,0
Pakistan,Hiroshima,Airport,Asia,2023,,3
Pakistan,Ibaraki,Airport,Asia,2023,,0
Pakistan,Ioto,Airport,Asia,2023,,0
Pakistan,Iruma,Airport,Asia,2023,,0
Pakistan,Izumo,Airport,Asia,2023,,0
Pakistan,Kitakyushu,Airport,Asia,2023,,6
Pakistan,Kochi,Airport,Asia,2023,,0
Pakistan,Komatsu,Airport,Asia,2023,,0
Pakistan,Kumamoto,Airport,Asia,2023,,3
Pakistan,Kushiro,Airport,Asia,2023,,0
Pakistan,Matsuyama,Airport,Asia,2023,,0
Pakistan,Miyazaki,Airport,Asia,2023,,0
Pakistan,Nagasaki,Airport,Asia,2023,,0
Pakistan,Nagoya,Airport,Asia,2023,,0
Pakistan,New Ishigaki,Airport,Asia,2023,,0
Pakistan,Niigata,Airport,Asia,2023,,1
Pakistan,Noto,Airport,Asia,2023,,0
Pakistan,Nyutabaru,Airport,Asia,2023,,0
Pakistan,Oita,Airport,Asia,2023,,0
Pakistan,Okayama,Airport,Asia,2023,,1
Pakistan,Saga,Airport,Asia,2023,,0
Pakistan,Sendai,Airport,Asia,2023,,6
Pakistan,Shimojishima,Airport,Asia,2023,,0
Pakistan,Shirahama,Airport,Asia,2023,,0
Pakistan,Shizuoka,Airport,Asia,2023,,3
Pakistan,Shonai,Airport,Asia,2023,,0
Pakistan,Takamatsu,Airport,Asia,2023,,2
Pakistan,Tokushima,Airport,Asia,2023,,0
Pakistan,Tottori,Airport,Asia,2023,,0
Pakistan,Toyama,Airport,Asia,2023,,1
Pakistan,Yamagata,Airport,Asia,2023,,0
Pakistan,Yonago,Airport,Asia,2023,,1
Pakistan,Tokyo,Seaport,Asia,2023,,1
Pakistan,Chiba,Seaport,Asia,2023,,0
Pakistan,Yokohama,Seaport,Asia,2023,,1
Pakistan,Kawasaki,Seaport,Asia,2023,,0
Pakistan,Yokosuka,Seaport,Asia,2023,,0
Pakistan,Shimizu,Seaport,Asia,2023,,0
Pakistan,Kure,Seaport,Asia,2023,,0
Pakistan,Mizushima,Seaport,Asia,2023,,0
Pakistan,Hakata,Seaport,Asia,2023,,7
Pakistan,Sasebo,Seaport,Asia,2023,,0
Pakistan,Kagoshima,Seaport,Asia,2023,,0
Pakistan,Naha,Seaport,Asia,2023,,0
Pakistan,Kinnakagusuku,Seaport,Asia,2023,,0
Pakistan,Aburatsu,Seaport,Asia,2023,,0
Pakistan,Akita Funakawa,Seaport,Asia,2023,,0
