Age,Country/Area,Gender,Region,Year,Change,Foreigners Entries
Total,Pakistan,Male,Asia,2013,,"23,592"
Total,Pakistan,Male,Asia,2014,0.052560190,"24,212"
Total,Pakistan,Male,Asia,2015,0.213447877,"26,796"
Total,Pakistan,Male,Asia,2016,0.188834154,"29,326"
Total,Pakistan,Male,Asia,2017,0.208552138,"32,384"
Total,Pakistan,Male,Asia,2018,0.218132411,"35,916"
Total,Pakistan,Male,Asia,2019,0.077068716,"37,300"
Total,Pakistan,Male,Asia,2020,-1.198176944,"14,954"
Total,Pakistan,Male,Asia,2021,-0.456600241,"11,540"
Total,Pakistan,Male,Asia,2022,2.490467938,"25,910"
Total,Pakistan,Male,Asia,2023,1.326437669,"43,094"
Total,Pakistan,Male,Asia,2024,0.221283705,"47,862"
0 - 4,Pakistan,Male,Asia,2013,,332
0 - 4,Pakistan,Male,Asia,2014,0.054216867,350
0 - 4,Pakistan,Male,Asia,2015,0.054285714,369
0 - 4,Pakistan,Male,Asia,2016,0.051490515,388
0 - 4,Pakistan,Male,Asia,2017,0.090206186,423
0 - 4,Pakistan,Male,Asia,2018,0.182033097,500
0 - 4,Pakistan,Male,Asia,2019,0.092,546
0 - 4,Pakistan,Male,Asia,2020,-0.532967033,255
0 - 4,Pakistan,Male,Asia,2021,-0.168627451,212
0 - 4,Pakistan,Male,Asia,2022,1.386792453,506
0 - 4,Pakistan,Male,Asia,2023,0.177865613,596
0 - 4,Pakistan,Male,Asia,2024,0.062080537,633
0 - 9,Pakistan,Male,Asia,2013,,581
0 - 9,Pakistan,Male,Asia,2014,0.120481928,651
0 - 9,Pakistan,Male,Asia,2015,0.082949309,705
0 - 9,Pakistan,Male,Asia,2016,0.052482270,742
0 - 9,Pakistan,Male,Asia,2017,0.110512129,824
0 - 9,Pakistan,Male,Asia,2018,0.148058252,946
0 - 9,Pakistan,Male,Asia,2019,0.098308668,"1,039"
0 - 9,Pakistan,Male,Asia,2020,-0.514918191,504
0 - 9,Pakistan,Male,Asia,2021,-0.25,378
0 - 9,Pakistan,Male,Asia,2022,1.513227513,950
0 - 9,Pakistan,Male,Asia,2023,0.182105263,"1,123"
0 - 9,Pakistan,Male,Asia,2024,0.082813891,"1,216"
5 - 9,Pakistan,Male,Asia,2013,,249
5 - 9,Pakistan,Male,Asia,2014,0.208835341,301
5 - 9,Pakistan,Male,Asia,2015,0.116279070,336
5 - 9,Pakistan,Male,Asia,2016,0.053571429,354
5 - 9,Pakistan,Male,Asia,2017,0.132768362,401
5 - 9,Pakistan,Male,Asia,2018,0.112219451,446
5 - 9,Pakistan,Male,Asia,2019,0.105381166,493
5 - 9,Pakistan,Male,Asia,2020,-0.494929006,249
5 - 9,Pakistan,Male,Asia,2021,-0.333333333,166
5 - 9,Pakistan,Male,Asia,2022,1.674698795,444
5 - 9,Pakistan,Male,Asia,2023,0.186936937,527
5 - 9,Pakistan,Male,Asia,2024,0.106261860,583
10 - 14,Pakistan,Male,Asia,2013,,237
10 - 14,Pakistan,Male,Asia,2014,0.050632911,249
10 - 14,Pakistan,Male,Asia,2015,0.309236948,326
10 - 14,Pakistan,Male,Asia,2016,-0.052147239,309
10 - 14,Pakistan,Male,Asia,2017,0.220064725,377
10 - 14,Pakistan,Male,Asia,2018,0.050397878,396
10 - 14,Pakistan,Male,Asia,2019,0.154040404,457
10 - 14,Pakistan,Male,Asia,2020,-0.557986871,202
10 - 14,Pakistan,Male,Asia,2021,-0.217821782,158
10 - 14,Pakistan,Male,Asia,2022,1.493670886,394
10 - 14,Pakistan,Male,Asia,2023,0.241116751,489
10 - 14,Pakistan,Male,Asia,2024,0.202453988,588
10 - 19,Pakistan,Male,Asia,2013,,540
