Age,Gender,SUM(Foreigners Entries),SUM(Foreigners Entries（Female）),SUM(Foreigners Entries（Male）)
0 - 4,Female,605.00,605.000,Null
5 - 9,Female,526.00,526.000,Null
10 - 14,Female,397.00,397.000,Null
15 - 19,Female,433.00,433.000,Null
20 - 24,Female,555.00,555.000,Null
25 - 29,Female,828.00,828.000,Null
30 - 34,Female,787.00,787.000,Null
35 - 39,Female,632.00,632.000,Null
40 - 44,Female,559.00,559.000,Null
45 - 49,Female,403.00,403.000,Null
50 - 54,Female,262.00,262.000,Null
55 - 59,Female,210.00,210.000,Null
60 - 64,Female,105.00,105.000,Null
65 - 69,Female,54.00,54.000,Null
70 - ,Female,46.00,46.000,Null
0 - 4,Male,633.00,Null,633.00
5 - 9,Male,583.00,Null,583.00
10 - 14,Male,588.00,Null,588.00
15 - 19,Male,786.00,Null,786.00
20 - 24,Male,"2,056.00",Null,"2,056.00"
25 - 29,Male,"3,498.00",Null,"3,498.00"
30 - 34,Male,"3,500.00",Null,"3,500.00"
35 - 39,Male,"3,188.00",Null,"3,188.00"
40 - 44,Male,"2,569.00",Null,"2,569.00"
45 - 49,Male,"2,087.00",Null,"2,087.00"
50 - 54,Male,"1,700.00",Null,"1,700.00"
55 - 59,Male,"1,504.00",Null,"1,504.00"
60 - 64,Male,819.00,Null,819.00
65 - 69,Male,302.00,Null,302.00
70 - ,Male,118.00,Null,118.00
